"CVE","Title","Severity","KBArticles","AffectedProductCount"
"CVE-2026-23234","f2fs: fix to avoid UAF in f2fs_write_end_io()","7.8","","0"
"CVE-2026-23235","f2fs: fix out-of-bounds access in sysfs attribute read/write","7.8","","0"
"CVE-2026-23237","platform/x86: classmate-laptop: Add missing NULL pointer checks","5.5","","0"
"CVE-2026-23238","romfs: check sb_set_blocksize() return value","5.5","","0"
"CVE-2026-3336","PKCS7_verify Certificate Chain Validation Bypass in AWS-LC","7.5","","0"
"CVE-2026-0038","In multiple functions of mem_protect.c, there is a possible way to execute arbitrary code due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.","8.4","","0"
"CVE-2026-27601","Underscore.js has unlimited recursion in _.flatten and _.isEqual, potential for DoS attack","7.5","","0"
"CVE-2026-2297","SourcelessFileLoader does not use io.open_code()",,"","0"
"CVE-2026-26017","CoreDNS ACL Bypass","7.7","","0"
"CVE-2026-26018","CoreDNS Loop Detection Denial of Service Vulnerability","7.5","","0"
"CVE-2026-3731","libssh SFTP Extension Name sftp.c sftp_extensions_get_data out-of-bounds","5.3","","0"
"CVE-2025-69646","Binutils objdump contains a denial-of-service vulnerability when processing a crafted binary with malformed DWARF debug_rnglists data. A logic error in the handling of the debug_rnglists header can cause objdump to repeatedly print the same warning message and fail to terminate, resulting in an unbounded logging loop until the process is interrupted. The issue was observed in binutils 2.44. A local attacker can exploit this vulnerability by supplying a malicious input file, leading to excessive CPU and I/O usage and preventing completion of the objdump analysis.","5.5","","0"
"CVE-2025-69652","GNU Binutils thru 2.46 readelf contains a vulnerability that leads to an abort (SIGABRT) when processing a crafted ELF binary with malformed DWARF abbrev or debug information. Due to incomplete state cleanup in process_debug_info(), an invalid debug_info_p state may propagate into DWARF attribute parsing routines. When certain malformed attributes result in an unexpected data length of zero, byte_get_little_endian() triggers a fatal abort. No evidence of memory corruption or code execution was observed; the impact is limited to denial of service.","6.2","","0"
"CVE-2025-69645","Binutils objdump contains a denial-of-service vulnerability when processing a crafted binary with malformed DWARF debug information. A logic error in the handling of DWARF compilation units can result in an invalid offset_size value being used inside byte_get_little_endian, leading to an abort (SIGABRT). The issue was observed in binutils 2.44. A local attacker can trigger the crash by supplying a malicious input file.","5.5","","0"
"CVE-2025-69649","GNU Binutils thru 2.46 readelf contains a null pointer dereference vulnerability when processing a crafted ELF binary with malformed header fields. During relocation processing, an invalid or null section pointer may be passed into display_relocations(), resulting in a segmentation fault (SIGSEGV) and abrupt termination. No evidence of memory corruption beyond the null pointer dereference, nor any possibility of code execution, was observed.","5.5","","0"
"CVE-2026-27142","URLs in meta content attribute actions are not escaped in html/template","7.5","","0"
"CVE-2026-25679","Incorrect parsing of IPv6 host literals in net/url","7.5","","0"
"CVE-2026-23868",,"7.0","","0"
"CVE-2026-3783","token leak with redirect and netrc","5.3","","0"
"CVE-2026-31802","node-tar Symlink Path Traversal via Drive-Relative Linkpath",,"","0"
"CVE-2025-66413","Git for Windows leaks NTLM hash when cloning from an attacker-controlled server","7.4","","0"
"CVE-2026-32775",,"7.4","","0"
"CVE-2026-23941","Request smuggling via first-wins Content-Length parsing in inets httpd",,"","0"
"CVE-2026-23943","Pre-auth SSH DoS via unbounded zlib inflate",,"","0"
"CVE-2026-23241","audit: add missing syscalls to read class","5.5","","0"
"CVE-2025-71239","audit: add fchmodat2() to change attributes class","5.5","","0"
"CVE-2026-23233","f2fs: fix to avoid mapping wrong physical block for swapfile","7.8","","0"
"CVE-2026-23242","RDMA/siw: Fix potential NULL pointer dereference in header processing","5.5","","0"
"CVE-2026-23245","net/sched: act_gate: snapshot parameters with RCU on replace","5.5","","0"
"CVE-2025-71266","fs: ntfs3: check return value of indx_find to avoid infinite loop","5.5","","0"
"CVE-2025-71267","fs: ntfs3: fix infinite loop triggered by zero-sized ATTR_LIST","5.5","","0"
"CVE-2026-23244","nvme: fix memory allocation in nvme_pr_read_keys()","5.5","","0"
"CVE-2026-23243","RDMA/umad: Reject negative data_len in ib_umad_write","7.8","","0"
"CVE-2026-4224","Stack overflow parsing XML with deeply nested DTD content models",,"","0"
"CVE-2026-3644","Incomplete control character validation in http.cookies",,"","0"
"CVE-2026-23269","apparmor: validate DFA start states are in bounds in unpack_pdb","7.1","","0"
"CVE-2026-23259","io_uring/rw: free potentially allocated iovec on cache put failure","5.5","","0"
"CVE-2026-23268","apparmor: fix unprivileged local user can do privileged policy management","7.8","","0"
"CVE-2026-23266","fbdev: rivafb: fix divide error in nv3_arb()","5.5","","0"
"CVE-2026-23265","f2fs: fix to do sanity check on node footer in {read,write}_end_io","7.1","","0"
"CVE-2006-10002","XML::Parser versions through 2.47 for Perl could overflow the pre-allocated buffer size cause a heap corruption (double free or corruption) and crashes","7.5","","0"
"CVE-2026-23274","netfilter: xt_IDLETIMER: reject rev0 reuse of ALARM timer labels","5.5","","0"
"CVE-2026-23278","netfilter: nf_tables: always walk all pending catchall elements","4.7","","0"
"CVE-2026-23272","netfilter: nf_tables: unconditionally bump set->nelems before insertion","6.4","","0"
"CVE-2026-23276","net: add xmit recursion limit to tunnel xmit functions","5.5","","0"
"CVE-2026-3634","Libsoup: libsoup: http header injection and response splitting via crlf injection in content-type header","3.9","","0"
"CVE-2026-3632","Libsoup: libsoup: http smuggling and server-side request forgery via malformed hostnames","3.9","","0"
"CVE-2026-3479","pkgutil.get_data() does not enforce documented restrictions",,"","0"
"CVE-2026-4437","gethostbyaddr and gethostbyaddr_r may incorrectly handle DNS response","5.9","","0"
"CVE-2026-4438","gethostbyaddr and gethostbyaddr_r return invalid DNS hostnames","5.9","","0"
"CVE-2026-4426","Libarchive: libarchive: denial of service via malformed iso file processing","6.5","","0"
"CVE-2026-4395","Heap-based buffer overflow in wc_ecc_import_x963_ex KCAPI path",,"","0"
"CVE-2026-1005","Integer underflow leads to out-of-bounds access in sniffer AES-GCM/CCM/ARIA-GCM decrypt path",,"","0"
"CVE-2026-3549","ECH parsing heap buffer overflow",,"","0"
"CVE-2026-23865","An integer overflow in the tt_var_load_item_variation_store function of the Freetype library in versions 2.13.2 and 2.13.3 may allow for an out of bounds read operation when parsing HVAR/VVAR/MVAR tables in OpenType variable fonts. This issue is fixed in version 2.14.2.","5.3","","0"
"CVE-2026-23236","fbdev: smscufx: properly copy ioctl memory to kernelspace","5.5","","0"
"CVE-2025-71238","scsi: qla2xxx: Fix bsg_done() causing double free","6.2","","0"
"CVE-2026-23231","netfilter: nf_tables: fix use-after-free in nf_tables_addchain()","7.8","","0"
"CVE-2026-3338","PKCS7_verify Signature Validation Bypass in AWS-LC","7.5","","0"
"CVE-2026-3381","Compress::Raw::Zlib versions through 2.219 for Perl use potentially insecure versions of zlib","9.8","","0"
"CVE-2026-0032","In multiple functions of mem_protect.c, there is a possible out-of-bounds write due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.","7.8","","0"
"CVE-2026-0031","In multiple functions of mem_protect.c, there is a possible out of bounds write due to an integer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.","8.4","","0"
"CVE-2026-3494","MariaDB Server Audit Plugin Comment Handling Bypass","4.3","","0"
"CVE-2026-3713","pnggroup libpng pnm2png pnm2png.c do_pnm2png heap-based overflow","5.3","","0"
"CVE-2026-27139","FileInfo can escape from a Root in os","2.5","","0"
"CVE-2024-14027","xattr: switch to CLASS(fd)","5.5","","0"
"CVE-2026-29786","node-tar: Hardlink Path Traversal via Drive-Relative Linkpath",,"","0"
"CVE-2025-69650","GNU Binutils thru 2.46 readelf contains a double free vulnerability when processing a crafted ELF binary with malformed relocation data. During GOT relocation handling, dump_relocations may return early without initializing the all_relocations array. As a result, process_got_section_contents() may pass an uninitialized r_symbol pointer to free(), leading to a double free and terminating the program with SIGABRT. No evidence of exploitable memory corruption or code execution was observed; the impact is limited to denial of service.","7.8","","0"
"CVE-2025-69651","GNU Binutils thru 2.46 readelf contains a vulnerability that leads to an invalid pointer free when processing a crafted ELF binary with malformed relocation or symbol data. If dump_relocations returns early due to parsing errors, the internal all_relocations array may remain partially uninitialized. Later, process_got_section_contents() may attempt to free an invalid r_symbol pointer, triggering memory corruption checks in glibc and causing the program to terminate with SIGABRT. No evidence of further memory corruption or code execution was observed; the impact is limited to denial of service.","7.1","","0"
"CVE-2025-69644","An issue was discovered in Binutils before 2.46. The objdump contains a denial-of-service vulnerability when processing a crafted binary with malformed debug information. A logic flaw in the handling of DWARF location list headers can cause objdump to enter an unbounded loop and produce endless output until manually interrupted. This issue affects versions prior to the upstream fix and allows a local attacker to cause excessive resource consumption by supplying a malicious input file.","5.0","","0"
"CVE-2026-27137","Incorrect enforcement of email constraints in crypto/x509","5.9","","0"
"CVE-2026-27138","Panic in name constraint checking for malformed certificates in crypto/x509","5.9","","0"
"CVE-2026-23239","espintcp: Fix race condition in espintcp_close()","7.0","","0"
"CVE-2026-23240","tls: Fix race condition in tls_sw_cancel_work_tx()","7.0","","0"
"CVE-2026-1965","bad reuse of HTTP Negotiate connection","6.5","","0"
"CVE-2026-3784","wrong proxy connection reuse with credentials","6.5","","0"
"CVE-2026-3904",,"6.2","","0"
"CVE-2026-3805","use after free in SMB connection reuse","7.5","","0"
"CVE-2025-69647",,"6.2","","0"
"CVE-2025-69648",,"7.4","","0"
